TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,AUTUMN_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SCALE
2026-05-05 18:01:08,robin_observed.csv,0.4100142307217099527203700022,0.927,1.235,1.668,0.398,0.226,0.285,11.61,10.57,4.431,3.561,0.278,8.46,2.839,1.151
2026-05-05 18:01:09,robin_observed.csv,0.5315026100845382453110044383,0.502,0.199,0.764,0.152,0.183,0.247,1.21,11.51,4.283,4.439,0.254,6.45,1.56,1.166
2026-05-05 18:01:09,robin_observed.csv,0.3276453467625620263319523622,0.794,0.864,2.457,0.512,0.36,0.093,1.81,11.01,2.35,2.084,0.309,7.44,2.431,1.365
2026-05-05 18:01:09,robin_observed.csv,0.3632471996853772433208427279,0.786,0.977,2.275,0.15,0.783,0.111,1.23,11.2,1.672,5.876,0.14,8.15,3.47,1.205
2026-05-05 18:01:10,robin_observed.csv,0.5234404964968726679290690508,1.787,1.365,2.097,0.247,0.754,0.033,2.35,11.92,3.772,2.758,0.212,8.46,3.229,1.342
2026-05-05 18:01:10,robin_observed.csv,0.4331241413961697435008895995,1.785,0.505,1.049,0.513,1.152,0.162,1.43,1.28,3.043,1.296,0.281,7.91,3.654,1.034
2026-05-05 18:01:10,robin_observed.csv,1.000596476687408623985689116,1.717,1.382,2.438,0.171,0.569,0.028,11.62,10.96,3.449,2.923,0.054,5.97,3.912,1.253
2026-05-05 18:01:10,robin_observed.csv,0.3559528151535683123382142587,1.883,1.037,0.329,0.529,0.691,0.12,11.74,1.1,1.966,2.042,0.039,5.59,2.729,1.29
2026-05-05 18:01:11,robin_observed.csv,0.7096234252675577865500210315,1.265,0.627,1.078,0.244,0.265,0.087,11.96,1.06,4.43,1.276,0.155,8.21,2.93,1.103
2026-05-05 18:01:11,robin_observed.csv,0.6659973975171001319381683238,1.741,0.275,0.699,0.503,1.157,0.12,2.34,11.39,1.57,3.409,0.042,6.47,4.413,1.761
2026-05-05 18:01:11,robin_observed.csv,0.6210330721899764399120111841,1.02,0.619,0.752,0.273,0.32,0.11,1.3,10.56,3.78,3.768,0.006,7.63,3.581,1.292
2026-05-05 18:01:12,robin_observed.csv,0.4153012548347474631011642650,1.63,0.807,1.757,0.468,0.868,0.275,1.06,11.98,2.939,1.359,0.249,7.03,3.302,1.101
2026-05-05 18:01:12,robin_observed.csv,0.5204802835557100935855275147,1.701,1.13,0.865,0.377,0.502,0.067,11.83,1.14,1.811,1.863,0.232,5.94,4.783,1.083
2026-05-05 18:01:12,robin_observed.csv,0.3581926818072298459428306764,1.359,0.553,2.453,0.358,0.43,0.202,2.04,1.49,1.501,3.218,0.299,7.63,2.562,1.618
2026-05-05 18:01:13,robin_observed.csv,0.4448438357817028868782691569,1.49,0.479,1.379,0.531,0.993,0.262,2.39,1.49,1.445,2.054,0.059,6.61,2.39,1.084
2026-05-05 18:01:13,robin_observed.csv,0.3501850280454191989160228526,1.107,0.899,1.01,0.448,0.252,0.079,2.26,11.75,1.39,5.598,0.262,5.56,1.975,1.489
2026-05-05 18:01:13,robin_observed.csv,0.6988105726077518627606570172,1.626,0.317,0.868,0.46,0.064,0.217,1.01,11.68,1.824,2.896,0.18,6.7,1.066,1.416
2026-05-05 18:01:13,robin_observed.csv,0.3614552275464102332207145383,1.217,1.009,0.423,0.132,0.577,0.101,11.56,1.24,0.854,3.728,0.285,5.53,1.811,1.036
2026-05-05 18:01:14,robin_observed.csv,0.4008867728784292982772677704,1.0,1.049,0.918,0.175,0.453,0.062,1.41,11.53,1.124,2.775,0.019,5.82,3.978,1.135
2026-05-05 18:01:14,robin_observed.csv,0.6404824828731277124769769712,0.485,0.969,1.859,0.409,1.031,0.341,11.96,11.18,3.784,2.347,0.278,5.78,4.523,1.782
2026-05-05 18:01:14,robin_observed.csv,0.5750160256212533594462126508,0.554,0.151,0.921,0.113,0.78,0.187,11.85,10.65,1.372,4.44,0.221,5.65,1.601,1.617
2026-05-05 18:01:15,robin_observed.csv,0.8950258467937814866789113225,1.035,0.73,1.723,0.052,0.285,0.019,1.16,11.79,3.709,3.923,0.249,6.02,3.515,1.464
2026-05-05 18:01:15,robin_observed.csv,0.4957147305386543613510725847,1.397,1.063,0.34,0.148,0.653,0.331,1.44,1.02,1.98,2.292,0.14,8.27,2.991,1.702
2026-05-05 18:01:15,robin_observed.csv,0.5697472494293883117779616035,0.931,0.763,2.014,0.461,0.674,0.195,11.76,11.93,1.868,2.815,0.064,6.98,3.826,1.224
2026-05-05 18:01:16,robin_observed.csv,0.4757955587174149158075490881,0.753,0.698,1.945,0.175,0.422,0.212,2.47,1.06,2.317,4.628,0.247,6.03,2.071,0.99
2026-05-05 18:01:16,robin_observed.csv,0.9756519118188048824209684225,1.06,0.926,2.396,0.147,0.057,0.323,1.98,1.14,1.294,3.783,0.32,6.16,2.373,0.923
2026-05-05 18:01:16,robin_observed.csv,0.5175857564153096616560965082,1.084,0.696,0.585,0.111,0.536,0.147,1.34,1.22,2.721,3.224,0.002,7.18,2.604,1.624
2026-05-05 18:01:16,robin_observed.csv,0.4119666981510017416665927210,1.07,1.164,0.342,0.126,0.216,0.024,11.81,11.19,1.984,4.788,0.181,8.05,1.793,1.679
2026-05-05 18:01:17,robin_observed.csv,0.7860501855644838746670809272,0.964,0.933,0.925,0.138,0.061,0.277,11.73,10.87,4.147,5.625,0.253,5.84,2.067,1.042
2026-05-05 18:01:17,robin_observed.csv,0.2950913743036072309954155293,0.965,0.723,1.918,0.111,0.961,0.239,2.17,10.95,1.166,1.191,0.293,7.6,3.879,1.094
